NDBI,MVI,MI,AVVVH,VV,VH,MVHVV,GEMI,Wetness,SR38,B8A,BNDVI,CARrededge,REDVI,CVI,S2WI,WRIyou,B11,EMBI,SIPI,S2REP,MNSI,C3I3,NDTI,PSRI,SR45,GRAY,EXG,NDWIt2,BITM,NDYI,NMDI,WI,ARI,NDWIt,B5,BRI,RFDI,DVVVH,DVHVV,MIRBI,SLOPE,SR53,DCNI,CIEX,PWRI,NR3,ASPECT,CI4,NDRI2,ELEVATION,CARI,SVHVV,NPNC,SR24
0.028930768,0.650902313,-0.85388356,-27.5625134,-11.19137139,-16.37114202,183.2155304,0.397497626,-0.15012262,0.5448216,0.2388,0.4353529,1.3576074,0.013300002,2.5596795,-0.13971065,0.08884646,0.2859,0.092626287,2.5253625,705.9104052,0.123165303,0.08220687,0.040014524,0.38891456,0.87650603,0.181898004,-0.03741668,-0.35646364,0.134576327,0.16141002,0.82525826,0.70445365,2.96714,-0.39090243,0.1992,12.911837,-0.187928095,0.683603586,1.462836094,1.83718015,3.7047918,1.5910543,9.780972238,0.311635276,0.17472684,0.011221116,180.0,-0.037688456,0.2036488,159,0.409580714,-5.179770625,0.46047682,0.51775485
-0.031879675,1.516128933,1.218829,-27.57052618,-9.330496975,-18.2400292,170.1885373,0.642024442,-0.070759367,0.27104875,0.2893,0.73924214,4.402474,0.030000001,3.0158365,-0.045789056,0.17454465,0.2036,0.121149633,1.0920304,719.2002429,0.116739198,-0.009503718,0.22835594,0.080564775,0.5141388,0.121105998,0.26551723,-0.2707402,0.059542477,0.28771928,0.56305915,-2.447761,5.0549984,-0.47003612,0.1167,18.666906,-0.323154233,0.511539585,1.954882924,1.283720002,1.4423692,1.5899183,10.3828859,0.308489092,0.106331326,-0.006056177,49.99181,-0.06394746,0.36136246,269,0.326837795,-8.909532229,0.3100437,0.67666674
-0.092999004,2.318910212,2.2537768,-21.4203582,-8.83761199,-12.58274621,111.2014288,0.780983565,-0.032000281,0.2066886,0.3663,0.81628084,6.544516,0.06280002,3.2789366,0.028273156,0.19177161,0.2002,0.039096114,1.0452662,720.786182,0.157922113,0.025371308,0.2837448,0.047019877,0.43231812,0.143648002,0.38433295,-0.19401388,0.056739112,0.34283173,0.6095301,-1.5843623,4.802362,-0.4528302,0.1182,13.16437,-0.174839944,0.702359552,1.423772194,1.155039921,8.570997,1.5676391,9.75149656,0.308739967,0.110090174,0.019136762,194.84131,-0.004094951,0.37223586,189,0.371809515,-3.745134218,0.2790989,0.7221135
-0.058333505,1.75018149,1.3406216,-25.02861315,-9.728165721,-15.30044743,148.8452882,0.685520023,-0.066284876,0.27844313,0.3399,0.7256523,3.9196155,0.04339999,3.5218868,-0.031331636,0.16270244,0.2307,0.05262216,1.1569192,719.5833327,0.148883793,0.026344383,0.18703368,0.13110806,0.6145553,0.159848998,0.17572694,-0.25896415,0.081211762,0.2731006,0.64248836,-22.166632,4.014143,-0.42539388,0.1484,12.018393,-0.222636455,0.635809231,1.572798806,1.319140062,9.899269,1.5956988,10.83702904,0.311297678,0.16103011,0.015043313,84.677666,-0.017358035,0.2680578,190,0.371846088,-5.572281708,0.3481153,0.5822368
-0.034689046,1.43498659,0.92227376,-22.08982707,-7.691216194,-14.39861087,110.7428291,0.636822909,-0.083836696,0.28561896,0.3126,0.71306086,3.9641378,0.026899993,3.803839,-0.047310416,0.15618521,0.2348,0.116037773,1.2070633,719.0779005,0.128816796,-0.007891066,0.18466197,0.15689151,0.63265306,0.150301999,0.122377604,-0.30744332,0.078520488,0.2606775,0.60740143,4.7837815,4.8795214,-0.4656679,0.147,16.281353,-0.303641792,0.534163765,1.872085052,1.314959976,8.044152,1.7172897,11.10405027,0.311514265,0.1477416,-0.00415351,235.06078,-0.04126678,0.26944223,249,0.359944482,-6.707394678,0.3200852,0.5397849
-0.09224321,2.349958471,2.192741,-23.47198736,-9.919627171,-13.55236019,134.4343603,0.767764891,-0.02865662,0.22590362,0.3753,0.796802,5.871876,0.0431,3.2837818,0.054667804,0.18148133,0.2028,0.015140025,1.0654604,720.3024904,0.151338704,0.006947544,0.28680202,0.06178206,0.48803824,0.150211004,0.33783785,-0.153412,0.063920212,0.33279487,0.6031607,-1.9342724,4.1467304,-0.4216614,0.1254,11.354683,-0.154768872,0.731948313,1.366216689,1.136559972,12.076219,1.52,10.53235678,0.311178403,0.15076669,0.004953221,349.61267,-0.026911745,0.29493088,388,0.364766486,-3.632733015,0.25281474,0.6748366
-0.049748115,1.855400649,1.5902812,-24.5634539,-9.92892115,-14.63453275,145.3051218,0.647979762,-0.045682665,0.29563493,0.2791,0.6950672,2.6789994,0.06549999,3.3295796,-0.02456708,0.16670954,0.2042,0.028224533,1.1567165,721.6839387,0.150343894,0.12139298,0.2323476,0.141832,0.7266722,0.148623998,0.15703191,-0.17451526,0.078942427,0.2433936,0.59409595,-25.000042,2.928044,-0.39100817,0.1211,9.682685,-0.191569623,0.678458364,1.473929799,1.270840079,10.503657,1.3545861,19.55555754,0.311712158,0.11777249,0.06666664,110.44091,0.08348259,0.18215616,184,0.279025407,-4.705611601,0.4802355,0.6181818
-0.022181742,1.299206827,0.58457273,-21.51863232,-5.819585104,-15.69904722,91.36194133,0.58396873,-0.086775085,0.37430558,0.3032,0.5841584,1.9806268,0.033799976,2.889705,-0.039881848,0.15338324,0.2465,0.065535646,1.2392066,718.6641219,0.139183584,0.033247273,0.1668639,0.16129032,0.7175385,0.163509996,0.07800001,-0.24031007,0.101541058,0.17557253,0.6066945,3.6590922,3.1225915,-0.39147615,0.1625,10.842332,-0.45911199,0.370696707,2.697623101,1.344299987,12.10395,1.5074211,11.92017791,0.314939132,0.17061931,0.014084484,278.683,-0.050131988,0.20300752,456,0.373722083,-9.879462111,0.31602708,0.6483705
-0.052735012,1.673370329,1.3602812,-25.72595867,-9.458736916,-16.26722176,153.8673709,0.709278766,-0.071525322,0.24617307,0.2969,0.7563786,4.209561,0.065,3.1858234,-0.035622474,0.19102532,0.223,0.110506465,1.0673635,716.5347335,0.149336101,0.09251443,0.22527473,0.068208545,0.47067782,0.137376002,0.2778378,-0.28298452,0.063245658,0.2792208,0.5921413,-2.0235295,5.074209,-0.47779986,0.1313,15.85195,-0.264654271,0.581459886,1.719809093,1.224599978,11.201976,1.6662437,7.977138037,0.311219144,0.10199087,0.062572606,11.224186,0.0781408,0.39053255,554,0.387951123,-6.808484841,0.29831934,0.7184466
0.000499,0.991959037,-0.02137564,-20.63510595,-4.669641583,-15.96546437,74.55299629,0.514929485,-0.097725326,0.4003535,0.2411,0.57865363,2.1686027,0.019199997,2.8010566,-0.06715425,0.13456781,0.2274,0.130249439,1.330393,718.3607766,0.108419898,-0.021321932,0.17246713,0.1989377,0.72416246,0.134478,0.07600947,-0.27837518,0.085982711,0.19999997,0.54365623,2.7454531,3.9099443,-0.4301887,0.1403,17.277704,-0.547408034,0.292483919,3.41899139,1.376480001,7.7419252,1.5485651,12.73872895,0.313942414,0.13221037,-0.008108707,276.8385,-0.061385307,0.22472341,287,0.320314846,-11.29582278,0.3386034,0.5944882
